"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"226876_at",107.200501860656,317.040928785714,3.24467341316121,0.00143184766259272,0.00731947588112928,-3.17831367089689,"RFLNB"
"240383_at",89.2510410045901,242.414267970807,3.24446287287751,0.00143284048209895,0.00732265312848731,-3.1785117038391,"UBE2D3"
"216060_s_at",521.761492608196,1736.49686173913,3.24442051783395,0.00143304028806038,0.00732265312848731,-3.17855154151385,"DAAM1"
"204517_at",82.6400185596722,184.124788254658,3.24440954278279,0.001433092066068,0.00732265312848731,-3.17856186419659,"PPIC"
"203042_at",198.075168240984,521.528672267081,3.24408928495537,0.00143460374258285,0.00732918703286466,-3.17886307340365,"LAMP2"
"218266_s_at",109.015677881869,324.396460840994,3.2432425430377,0.00143860767192557,0.00734552432410631,-3.17965933864152,"NCS1"
"214265_at",73.8731558578689,137.940480809938,3.2416361960398,0.0014462320790227,0.00737756474347508,-3.18116947483079,"ITGA8"
"212450_at",307.396773545901,1175.04146076398,3.24122464942694,0.00144819149514709,0.00738687097650593,-3.18155627694196,"SECISBP2L"
"1560897_a_at",25.5362434256557,54.1981538006211,3.24033375595786,0.00145244159432051,0.00740440505076678,-3.18239347174459,"KRTAP10-11"
"209201_x_at",17.1942709140492,31.0558501981366,3.23824240351914,0.00146246423979407,0.0074471670215834,-3.18435805200138,"CXCR4"
"239435_x_at",69.3881959093442,234.660406689441,3.23761309604299,0.0014654927164658,0.00745980954033775,-3.18494901600381,"SHROOM1"
"227152_at",64.5544373712622,162.62118468882,3.23451549325369,0.00148048481674034,0.00751792582476812,-3.18785655720595,"RESF1"
"212412_at",323.327598996722,852.675574453416,3.23129314918046,0.00149623193995395,0.00758585695441776,-3.19087884593078,"PDLIM5"
"209307_at",56.1953958308196,146.405866114907,3.23083451861624,0.00149848582065631,0.00759514377267544,-3.1913088088997,"SWAP70"
"242297_at",37.2540158555738,91.2981062173913,3.22907676268725,0.00150715335631818,0.00763279082592596,-3.19295624484664,"RREB1"
"226364_at",55.2915300863934,168.083186254658,3.22871861490661,0.0015089250986848,0.00763893331209179,-3.19329182745156,"HIP1"
"1563827_at",24.896993555459,47.9725842,3.22706540155166,0.0015171286080166,0.00767690945333712,-3.19484049717483,"LOC158434"
"1557366_at",18.3958017869836,37.4999665018634,3.22666444338367,0.00151912446530655,0.00768558620714682,-3.19521600532245,"CCDC144CP"
"203910_at",141.570195404918,395.06460068323,3.2266177661367,0.00151935697012215,0.00768605128991751,-3.19525971741946,"ARHGAP29"
"241727_x_at",81.3479121201639,295.339097900621,3.22469116983339,0.00152898248684692,0.00772545212719299,-3.19706348998712,"DHFR2"
"220459_at",32.3929969737705,97.9905512229814,3.22458104083052,0.00152953441448666,0.00772752671521512,-3.19716657225822,"MCM3AP-AS1"
"226547_at",157.035641677049,665.03374726087,3.22378561563963,0.00153352630797191,0.00774554742617683,-3.19791101830287,"KAT6A"
"229468_at",53.8938990852459,239.079125596273,3.22180428487585,0.00154351189500833,0.00778950644817984,-3.1997647310535,"CDK3"
"229311_at",31.9546456137704,86.9211648975155,3.22097219674798,0.00154772347934603,0.00780774153440273,-3.20054295447572,"GKAP1"
"228693_at",80.5983378616393,270.191404515528,3.22082992362257,0.00154844465816767,0.00780935445856629,-3.20067600166518,"CCDC50"
"1560089_at",76.2253469590163,243.207370540373,3.21991486902651,0.00155309051672796,0.00782845247553252,-3.20153160653087,"SLC25A25-AS1"
"222598_s_at",34.0120360862787,114.285782349068,3.2196090179218,0.00155464625184935,0.00783557188604931,-3.20181754390695,"NAV2"
"223580_at",24.1655597829508,71.3017857385093,3.21607884935667,0.00157270787541282,0.00791056146165556,-3.2051163045911,"SPSB2"
"226028_at",72.5863176049182,147.935111614907,3.21423558169301,0.00158221601440623,0.00795028850638144,-3.20683760082001,"ROBO4"
"201209_at",137.937440858197,371.754366596273,3.21212220021232,0.00159318320541631,0.00800033411164986,-3.20881017205581,"HDAC1"
"202748_at",69.8455925819672,156.393411459006,3.20955528719384,0.0016065989501381,0.00805878877053217,-3.21120466981515,"GBP2"
"239001_at",52.172791322,120.447032748447,3.20748316289685,0.00161750520740322,0.00810086078728325,-3.21313650255272,"MGST1"
"238506_at",24.3142527868852,64.8393367776398,3.20616533812324,0.0016244770827919,0.00812982009168395,-3.21436458874789,"LRRC58"
"244673_at",16.2097145826885,36.2341797248447,3.20324247526537,0.00164004005700812,0.00819394217254985,-3.21708698327629,"SANBR"
"201615_x_at",70.239689517705,167.738977608696,3.20322379966742,0.00164013994022593,0.00819394217254985,-3.2171043716307,"CALD1"
"219267_at",43.155382644918,117.24188988882,3.20287116431363,0.00164202701059897,0.00820113517899871,-3.21743268591773,"GLTP"
"229467_at",118.694072793607,256.667374596273,3.20130627451292,0.00165042561929993,0.00823180265783832,-3.21888929895004,"PCBP2"
"1569608_x_at",327.492072429508,927.409216881988,3.20028057516134,0.00165595207302576,0.00825520562824295,-3.21984372132965,"LOC105379426"
"235645_at",57.8823343755738,190.887643416149,3.20011649201284,0.00165683774368117,0.00825851067880098,-3.21999637956411,"ESCO1"
"217762_s_at",428.488968585246,1043.03667962733,3.19894527432871,0.00166317240731201,0.00828555365556122,-3.22108586570836,"RAB31"
"235146_at",62.3885381400001,197.357964807453,3.19850206080181,0.00166557543866075,0.00829522891533,-3.22149806744809,"TMCC3"
"227039_at",55.9757276034426,167.748902679503,3.1982006884488,0.00166721127153171,0.00829962453528148,-3.22177832670029,"AKAP13"
"223786_at",35.3653980782787,49.7630469596273,3.19722610690794,0.00167251146682481,0.00832297846988684,-3.22268448842928,"CHST6"
"217212_s_at",18.5187130875738,56.6821323,3.19543931126253,0.00168226949498761,0.00836316463342858,-3.22434527180784,"IL9R"
"206960_at",28.0677961357213,62.3721642521739,3.19439024050511,0.00168802327159052,0.00838795531893225,-3.22532001302068,"LPAR4"
"203632_s_at",1072.46009109344,2396.25878978882,3.19382218641967,0.00169114646496646,0.00840118416972935,-3.22584771245073,"GPRC5B"
"1553335_x_at",26.4243095288524,56.6987669453416,3.19346385966409,0.00169311932439273,0.00840945667343499,-3.22618054513825,"BASP1-AS1"
"244622_at",28.2642129237213,81.5180952571429,3.19289315786359,0.00169626588123115,0.00842278966999483,-3.2267105814453,"BRWD1"
"200916_at",41.1485408191803,90.2444081385093,3.18992461303109,0.00171272066234057,0.00849369634589304,-3.22946638361782,"TAGLN2"
"204061_at",52.7046583289181,93.4433093217391,3.18775801150469,0.00172482364245314,0.00854029517401112,-3.23147642362588,"PRKX"
"225117_at",201.246955518032,904.088514099379,3.18773925702647,0.00172492875366447,0.00854029517401112,-3.23149381812428,"KANSL1"
"1568702_a_at",71.2192761854099,197.464558795031,3.18687605988711,0.00172977306163569,0.00856195384256123,-3.23229433221152,"PAAF1"
"213260_at",106.845846139344,197.145011950311,3.18654665990952,0.00173162499833163,0.00856879326489109,-3.23259976644789,"FOXC1"
"1559589_a_at",28.8759573277049,70.9584719844721,3.18625374543387,0.00173327335369199,0.0085742417869007,-3.23287134855003,"ERCC6L2"
"212897_at",98.0397453752459,259.594876900621,3.18623953639265,0.00173335335108575,0.0085742417869007,-3.23288452226866,"CDK19"
"210600_s_at",51.6230601023442,116.287772046584,3.18353079267842,0.00174866642427514,0.00864373354554229,-3.23539504052033,"GRK4"
"203230_at",123.231182616393,557.259332198758,3.18305296936414,0.00175138064774557,0.00865245657499675,-3.23583771994229,"DVL1"
"223980_s_at",52.3637143616393,138.108863585714,3.18104204888151,0.00176284636981584,0.00869966831570366,-3.23770015576419,"SP110"
"204236_at",25.5353921563279,51.402142742236,3.18088078964984,0.00176376883648391,0.0087025014610093,-3.23784946704259,"FLI1"
"225655_at",32.2391193208525,73.0960698459627,3.18047272917899,0.00176610510521915,0.00871260458611001,-3.23822726665947,"UHRF1"
"1568986_x_at",143.448581766066,360.120102155279,3.17700608698578,0.0017860688078514,0.00879363458525667,-3.2414352686327,"PIGT"
"232865_at",73.9202068059016,235.17346478323,3.17654648215955,0.00178873124421082,0.00880365647580774,-3.24186037325471,"AFF4"
"215698_at",37.606883077377,119.936107213043,3.17591992606648,0.00179236674123902,0.00881670279597329,-3.24243981778145,"KDM5A"
"1560741_at",63.6997070840983,212.631258701863,3.17354569778276,0.0018062051369299,0.00887120606015472,-3.24463469565449,"SNRPN"
"204422_s_at",61.5695525216393,142.248688586335,3.17327827808375,0.00180777001104782,0.00887729704994067,-3.24488183210548,"FGF2"
"236709_at",25.1574929642623,59.8384962832298,3.17324215516479,0.00180798148985251,0.00887753820904228,-3.24491521389691,"CTXND1"
"1556354_s_at",17.3022645711738,30.7990143552795,3.17317174787338,0.00180839374979498,0.00887796787914524,-3.24498027757504,"RGL3"
"225582_at",38.4782332627869,98.4176633329193,3.17276785356501,0.00181076038126735,0.0088879902904922,-3.24535349572319,"ITPRIP"
"218691_s_at",29.3991835898361,50.235316568323,3.17235531940488,0.00181318060387115,0.00889667499925112,-3.24573465830173,"PDLIM4"
"218062_x_at",104.328275720492,304.258810484472,3.16915390180158,0.0018320646734008,0.00897483523144779,-3.24869127330582,"CDC42EP4"
"244834_at",56.3702215713116,189.86840796087,3.1658391032927,0.0018518096318848,0.00905396248538324,-3.25175008234964,"CPLANE2"
"212178_s_at",71.190947542951,294.961767217391,3.16074838928621,0.00188251759524511,0.00918004366036623,-3.25644266929744,"POM121"
"212005_at",23.8625929517213,42.6008558086957,3.15935156960505,0.00189102559350949,0.00921660049252374,-3.25772919100465,"SZRD1"
"1568857_a_at",34.326487050377,121.953579852795,3.15919071186578,0.00189200766018512,0.00922056500763181,-3.2578773175749,"NBR1"
"225079_at",24.2385860866721,61.2455540944099,3.15874916268478,0.00189470583158451,0.00922960097486485,-3.25828388905622,"EMP2"
"240432_x_at",61.313608957705,190.430639192547,3.15856788825198,0.00189581457645959,0.00923335666915445,-3.2584507904934,"KLF7"
"215847_at",26.8941146154754,40.3023500043478,3.15833745305601,0.00189722487595712,0.00923857945252545,-3.25866294372579,"HERC2P3"
"227066_at",35.2878538255738,105.356692465217,3.15661908882729,0.00190777224170669,0.00927754578985265,-3.26024458748609,"MOB3C"
"230061_at",32.981569097377,64.9311715569565,3.15566890062006,0.00191362783472627,0.00930230883895326,-3.26111887838459,"TM4SF18"
"208795_s_at",73.8176428685247,226.019315931677,3.15531791001369,0.00191579504616915,0.0093099363744821,-3.26144177986961,"MCM7"
"208451_s_at",140.258216122951,305.869059301242,3.15500958254306,0.00191770070847633,0.00931588504983947,-3.26172540871213,"C4A"
"1553946_at",11.8940308430328,19.084471878882,3.15420781840486,0.00192266435511708,0.0093355104319909,-3.26246284336118,"DCD"
"221290_s_at",143.020607308197,520.555265838509,3.15316172817398,0.00192915850655944,0.00936239493574802,-3.26342477464967,"PWWP3A"
