"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
-2655.96517877049,3271.34419786957,-7.76262881767306,9.31297319765902e-13,2.53326770936322e-10,2.60521290964918,"SYT13"
-78.9911012619673,89.9312162670807,-7.75646510367161,9.64760987373237e-13,2.61130232597187e-10,2.59628010799341,"NUDT18"
-47.6642444239836,56.9058471807453,-7.75073759582711,9.96922719870269e-13,2.68506156201512e-10,2.58797977636009,"RUVBL1"
-322.252287590164,502.521604223602,-7.74728003655304,1.01684965747441e-12,2.72530661874574e-10,2.58296920569273,"MRPL36"
-2083.85303378689,1701.62092826087,-7.73918015316732,1.06508956086088e-12,2.84067179219847e-10,2.57123157012583,"ATP5F1C"
-334.818243327869,489.970548509317,-7.73785873945088,1.07317163256355e-12,2.84833296167049e-10,2.56931675148388,"MARS1"
-150.340646171311,193.078701385093,-7.73480097638039,1.09210725556094e-12,2.87509552905312e-10,2.56488590688813,"MRPL55"
-284.216203937918,243.84948401677,-7.73453465748072,1.09377205311943e-12,2.87509552905312e-10,2.56450000226716,"CALY"
-438.860489791804,653.660135341615,-7.73145812017555,1.11318711253789e-12,2.91212944392388e-10,2.56004204997935,"MADD"
-140.834487332623,240.994486590062,-7.7270294647043,1.14173566801079e-12,2.94738550032051e-10,2.55362501609951,"GSS"
-1348.03652914157,1129.04705641242,-7.72686093618466,1.14283626166977e-12,2.94738550032051e-10,2.55338082537271,"AP2M1"
-219.288448465738,222.447935397516,-7.72340428485693,1.16564351162357e-12,2.99209197173796e-10,2.54837234450029,"YJEFN3"
-303.376203165574,314.41745173913,-7.71971931342741,1.19045376134267e-12,3.04149810286964e-10,2.54303317138832,"TMEM97"
-68.0004217718032,74.2697373770186,-7.71854438813407,1.19847373899978e-12,3.04774658975875e-10,2.54133084486449,"RGS7"
-421.275431790164,620.740305714286,-7.71620305010609,1.21461548039413e-12,3.06280282286394e-10,2.53793856691142,"ZNF706"
-481.149025947541,464.70622547205,-7.71553930308634,1.21923055199973e-12,3.06280282286394e-10,2.53697689852128,"TARBP1"
-295.995146242623,399.805153521739,-7.71525683320623,1.22119984523885e-12,3.06280282286394e-10,2.53656764402158,"BABAM2"
-570.242227059017,1040.50872878882,-7.71440831265489,1.22713443293334e-12,3.06363356715206e-10,2.53533827586784,"BIN1"
-829.87540597541,853.474128757764,-7.70198966489415,1.31733046671126e-12,3.26012867831132e-10,2.51734652826699,"PSMB7"
-796.297934772131,994.707159130435,-7.70193179496465,1.31776577577833e-12,3.26012867831132e-10,2.51726269191647,"TPRG1L"
-164.896019896721,234.534146062112,-7.68908026391804,1.41805160482608e-12,3.49243114837235e-10,2.49864553423159,"TMEM127"
-194.643286355738,253.208009503106,-7.68665670408535,1.43779349377289e-12,3.52517306152613e-10,2.49513488780341,"ZNF415"
-3652.6203854918,4025.05372252174,-7.68157681637,1.48006069188293e-12,3.6037642202446e-10,2.4877766330299,"VPS35"
-950.702502040984,1045.72939906832,-7.68122530473793,1.48303054331054e-12,3.6037642202446e-10,2.48726747665808,"PPME1"
-231.065257309836,297.701292049689,-7.67744122178895,1.51537757121949e-12,3.6660738365675e-10,2.48178641061099,"ANAPC5"
-541.552278218033,588.227402248447,-7.67460498196825,1.54007938842529e-12,3.70942028908161e-10,2.47767835894913,"IMMT"
-656.203908357377,825.999239254658,-7.67182550235959,1.5646735635797e-12,3.7521283810842e-10,2.47365261047533,"JAK1"
-349.155719878688,317.568138521739,-7.6701161144204,1.5799917617369e-12,3.77231657523865e-10,2.47117680861376,"GLS"
-470.921784222951,580.511825,-7.66766203315578,1.60224326409166e-12,3.80881088974832e-10,2.467622486251,"ORC5"
-401.638634957377,506.374761900621,-7.66510783976901,1.62573203826555e-12,3.8479177139467e-10,2.46392324447972,"DNAJC8"
-100.901115077049,167.436242329193,-7.65686641496412,1.70387087511368e-12,4.01216230942593e-10,2.45198771413666,"BCAP29"
-310.569479153607,308.819599372671,-7.65625629499705,1.709801221941e-12,4.01216230942593e-10,2.4511041492083,"SLC25A4"
-6769.84622383607,6538.94220888199,-7.65454425762254,1.72655152010564e-12,4.03415403255451e-10,2.44862483151505,"TUBA1A"
-351.832130172131,424.255539273292,-7.64872369750102,1.78472330292431e-12,4.15232964201646e-10,2.44019595519095,"DDX41"
-300.106747071148,363.724531875776,-7.64271022508822,1.84686112820196e-12,4.27869204171365e-10,2.43148816656942,"GALNT18"
-271.05048555082,441.746700099379,-7.64094376875164,1.86551773569613e-12,4.30367857380532e-10,2.42893034305297,"M6PR"
-99.0020881580328,131.366393895652,-7.63523888470259,1.92705404878605e-12,4.42696134946963e-10,2.42066996338093,"TTLL1"
-945.015282159017,827.145058695652,-7.62733861723441,2.01560198691599e-12,4.6110058006122e-10,2.40923148580011,"NME1"
-1299.25822750492,1161.18467881366,-7.62195119237831,2.0782834578262e-12,4.71745842714445e-10,2.40143172908472,"SV2B"
-2173.39886316394,1810.12794807453,-7.62185738319832,2.07939182613958e-12,4.71745842714445e-10,2.40129591836134,"ATP5F1C"
-899.87351110164,1499.09826325466,-7.61438137784231,2.16962938770659e-12,4.90183829639908e-10,2.39047303933916,"ATCAY"
-3196.27440685246,4174.0389621118,-7.61129743924232,2.20797306090877e-12,4.96793938704474e-10,2.38600870142597,"SMIM48"
-420.936941092459,560.229459645963,-7.60840351756735,2.24456393879764e-12,5.02957103908856e-10,2.38181955458809,"ARPC4"
-2068.09905166557,1835.75592360248,-7.6061299250567,2.27373183474856e-12,5.0741342067297e-10,2.37852845871709,"RTL8C"
-387.330193383934,478.030835298137,-7.59603962450736,2.40777364918511e-12,5.35142375078032e-10,2.36392332430799,"NPDC1"
-1022.27005627049,1132.35652426087,-7.59425944698517,2.43222063324957e-12,5.38387300092795e-10,2.36134677141056,"RRAGA"
-875.08035511541,1034.00872459627,-7.59104594506678,2.47697496603609e-12,5.46083089790416e-10,2.35669580332726,"PI4KA"
-170.803136291147,177.107060602484,-7.59023470510092,2.48840134089475e-12,5.46398969130203e-10,2.3555217028589,"BLVRB"
-607.265298527869,748.676675093168,-7.57943454346959,2.64558635795701e-12,5.78589736485198e-10,2.33989165674344,"CAPRIN2"
-2456.09469863934,2613.06758409938,-7.57592483267814,2.69875219324953e-12,5.87865642095291e-10,2.33481276463109,"MAGED1"
-877.348182409836,1238.56609614907,-7.57293118158097,2.74493534804709e-12,5.93198972942587e-10,2.33048080972081,"PCNX2"
-515.712976768853,616.386194757764,-7.57108806686687,2.77375728733659e-12,5.97067636555623e-10,2.32781380401633,"HAX1"
-103.980279729213,131.914895290683,-7.56921459984524,2.80336081238962e-12,6.01073538891774e-10,2.32510293206481,"GTF3C1"
-440.914948504918,602.564921242236,-7.56848467423834,2.81497916884469e-12,6.01206976783529e-10,2.32404675803055,"ADSL"
-223.634039870984,425.306457186335,-7.55945142053558,2.96276852110192e-12,6.30308828370613e-10,2.3109766813051,"LSM12"
-233.991517178688,243.484322204969,-7.55816412667345,2.98444524328093e-12,6.32114662811622e-10,2.30911422048739,"NIT2"
-937.366355278687,1457.3685257764,-7.55757726160363,2.99437947266959e-12,6.32114662811622e-10,2.30826515102175,"CACNA1E"
