"","logFC","AveExpr","t","P.Value","adj.P.Val","B","colour"
"223346_at",-63.9736440173771,179.460579937888,-4.25593219738677,3.5353363250537e-05,0.00033234957629352,-2.11875867455555,"Downregulated"
"214110_s_at",-260.231707747541,369.724396062112,-4.25586458761744,3.5362957823462e-05,0.000332382623173077,-2.11883614847085,"Downregulated"
"225300_at",-66.1207042337705,158.103406180124,-4.25580376397148,3.53715915031034e-05,0.000332406628640801,-2.11890584549183,"Downregulated"
"217216_x_at",-34.9731060329509,81.075796515528,-4.25551317359688,3.54128675665819e-05,0.000332737331878822,-2.1192388202162,"Downregulated"
"203573_s_at",-45.9287425429508,108.222125341615,-4.25462747834745,3.55389585566798e-05,0.000333864700873963,-2.12025360772166,"Downregulated"
"216438_s_at",-2423.28970483606,4945.16340484472,-4.25432319905008,3.55823761560093e-05,0.00033421515484106,-2.12060220459481,"Downregulated"
"218790_s_at",-25.6575183289344,31.3157845757764,-4.25421771839957,3.55974390485082e-05,0.000334299206454343,-2.12072304445224,"Downregulated"
"209206_at",-186.622502990164,450.093952459627,-4.25378452944853,3.56593635933854e-05,0.000334823236213008,-2.1212192901935,"Downregulated"
"213507_s_at",-875.318222098362,2479.39610975155,-4.25367202986833,3.56754623367894e-05,0.000334916878994499,-2.12134816027532,"Downregulated"
"40255_at",-42.4551665231148,109.467729565217,-4.25356887357951,3.56902301727265e-05,0.00033499799737233,-2.12146632550706,"Downregulated"
"228031_at",-86.9943432999999,221.367117397516,-4.25331822995014,3.57261366872607e-05,0.000335277467108819,-2.12175342925214,"Downregulated"
"201985_at",-102.438717277049,210.681325906832,-4.25318538374246,3.57451819042528e-05,0.000335398630618675,-2.12190559557338,"Downregulated"
"219346_at",-64.8615283957377,121.400606055901,-4.25285058135407,3.57932233185984e-05,0.000335791778473639,-2.12228907521107,"Downregulated"
"209526_s_at",-150.455532321311,252.38514382795,-4.25258756755904,3.58310070510858e-05,0.000336032651279232,-2.12259031498961,"Downregulated"
"227169_at",-49.2843682054098,109.373891652174,-4.25253297548489,3.5838854365598e-05,0.000336032651279232,-2.12265283985665,"Downregulated"
"217989_at",-165.935582885246,306.205780453416,-4.2525097105663,3.58421990719705e-05,0.000336032651279232,-2.12267948524888,"Downregulated"
"203223_at",-25.1374298162787,42.0593938583851,-4.25250078181467,3.5843482803118e-05,0.000336032651279232,-2.12268971135389,"Downregulated"
"230421_at",-50.3627363452459,150.365859186335,-4.25243730512464,3.58526104337117e-05,0.000336060599256504,-2.12276241084294,"Downregulated"
"201329_s_at",-40.3806720936066,99.1768101925466,-4.25233513925697,3.58673060529893e-05,0.000336140719651558,-2.12287941933425,"Downregulated"
"209615_s_at",-24.1412293212131,28.2078756937888,-4.25224787784726,3.5879862374325e-05,0.00033620076697793,-2.12297935659644,"Downregulated"
"213388_at",481.381647508197,929.232932608696,4.25209718595072,3.59015558299436e-05,0.000336346395648075,-2.12315193528758,"Upregulated"
"213709_at",-126.05960919918,235.146088136646,-4.25135266668643,3.60089206936614e-05,0.000337294455872184,-2.12400453129681,"Downregulated"
"219048_at",-46.9656895967213,96.0904184223602,-4.25113841925337,3.60398736390618e-05,0.000337526565812899,-2.12424986145406,"Downregulated"
"205607_s_at",-53.6261625852459,127.06172836646,-4.25109110789315,3.60467122843538e-05,0.000337532795709375,-2.12430403559093,"Downregulated"
"206196_s_at",-932.435013632787,2257.88076865217,-4.25080077421239,3.60887059591023e-05,0.000337868150396219,-2.12463647515041,"Downregulated"
"37254_at",-115.633328683607,331.855327701863,-4.25047629862325,3.61356933777064e-05,0.000338205624225737,-2.12500799049109,"Downregulated"
"201581_at",-1472.85345572131,1990.67075571429,-4.25046642542876,3.61371240370691e-05,0.000338205624225737,-2.12501929472755,"Downregulated"
"202271_at",-371.444336085246,615.396459130435,-4.25041670967679,3.61443288430458e-05,0.000338215159933858,-2.12507621612605,"Downregulated"
"203685_at",283.886753506557,618.683539484472,4.25020770911969,3.61746322617925e-05,0.000338440797213125,-2.12531550380697,"Upregulated"
"221845_s_at",-37.809163656541,63.2536655658385,-4.25013589436533,3.61850504496481e-05,0.000338480347875879,-2.1253977237525,"Downregulated"
"230142_s_at",-30.5761150392787,67.5304160024845,-4.24994260304233,3.62131055669158e-05,0.000338684835249935,-2.12561901640647,"Downregulated"
"219911_s_at",183.838734188852,292.47992431677,4.24984043480542,3.62279431157168e-05,0.000338734934465012,-2.12573598268035,"Upregulated"
"205149_s_at",-17.1273216427705,21.5057222968944,-4.24979342270353,3.62347724819845e-05,0.000338734934465012,-2.12578980339186,"Downregulated"
"36907_at",132.718539368852,405.707388515528,4.2497777562776,3.62370485905049e-05,0.000338734934465012,-2.12580773864865,"Upregulated"
"208600_s_at",-19.3723091053606,23.0690905708075,-4.24971834357685,3.62456816548096e-05,0.000338757717004567,-2.12587575517567,"Downregulated"
"202422_s_at",-76.6942197519672,139.196879745342,-4.24964846111811,3.625583856799e-05,0.000338794731448445,-2.12595575683772,"Downregulated"
"78383_at",-40.9098708742624,111.586238658385,-4.24935712302841,3.62982118635197e-05,0.000339132729603203,-2.1262892723334,"Downregulated"
"203871_at",-42.0030306630164,112.473160537888,-4.24923447202564,3.63160648742122e-05,0.000339241559370845,-2.12642967520848,"Downregulated"
"218512_at",-97.863582692623,262.84128747205,-4.24914021927041,3.63297899698689e-05,0.000339311798189714,-2.12653756781744,"Downregulated"
"224367_at",-2229.02755555738,3679.89528161491,-4.24901486729732,3.63480514391165e-05,0.000339424374454944,-2.12668105776157,"Downregulated"
"1558436_a_at",-35.1456191869672,42.091801947205,-4.24881426662711,3.63772935595329e-05,0.000339639433976684,-2.12691067884645,"Downregulated"
"239937_at",34.5949063527377,58.7809903180124,4.24691782898069,3.6654858912711e-05,0.000342172513411725,-2.12908111870725,"Upregulated"
"212440_at",-334.529828834426,707.348531552795,-4.24660427407534,3.67009463491298e-05,0.00034254425429134,-2.12943991568869,"Downregulated"
"235948_at",-55.1316070595082,118.091446031056,-4.24641521156121,3.67287622736398e-05,0.00034270220639826,-2.12965624918669,"Downregulated"
"212318_at",-188.504470199672,594.533950956522,-4.24640404589059,3.67304056606091e-05,0.00034270220639826,-2.12966902523214,"Downregulated"
"203611_at",-141.474308632787,354.838290645963,-4.24597038910569,3.67942867237261e-05,0.00034323965647837,-2.13016520937129,"Downregulated"
"214250_at",107.591890888443,189.96660742795,4.2458244212438,3.68158128800848e-05,0.000343350418337895,-2.13033221632572,"Upregulated"
"201504_s_at",-16.6339522558689,20.2325412639752,-4.24580471611525,3.68187197570201e-05,0.000343350418337895,-2.13035476136676,"Downregulated"
"201194_at",-754.107925754099,1255.72903375776,-4.24500943759231,3.69362220318218e-05,0.000344387438538516,-2.131264598582,"Downregulated"
"205286_at",43.8417231269344,52.9131967658385,4.24468498145315,3.69842635106957e-05,0.00034477657415981,-2.13163576006598,"Upregulated"
"208679_s_at",-378.300710683606,654.112905465838,-4.24452051499301,3.70086385466413e-05,0.000344944990204162,-2.13182389431254,"Downregulated"
"211654_x_at",-44.3442634483442,91.5572018639752,-4.24377939931982,3.7118667985246e-05,0.000345891671932077,-2.13267160204107,"Downregulated"
"212953_x_at",-165.088745111475,529.362278074534,-4.24374461698468,3.71238396241467e-05,0.000345891671932077,-2.13271138461294,"Downregulated"
"226232_at",83.326031302295,208.34634768323,4.24370866702411,3.71291855979764e-05,0.000345891671932077,-2.13275250244103,"Upregulated"
"209272_at",-180.942571504918,525.508887329193,-4.24336152095472,3.71808462611671e-05,0.000346313930039065,-2.13314953959493,"Downregulated"
"203093_s_at",-32.8354034150492,78.1738925708075,-4.24323179215493,3.72001695713571e-05,0.000346434895471632,-2.13329790727233,"Downregulated"
"224835_at",-284.974289808197,662.758235031056,-4.24271650191344,3.72770179370463e-05,0.000347091443410764,-2.13388720283779,"Downregulated"
"221096_s_at",-32.9349154161312,64.2086089695652,-4.24201477033181,3.73819161090269e-05,0.000348008898903634,-2.13468964073846,"Downregulated"
"239398_at",-24.5373703297213,29.6395621074534,-4.24187531978482,3.7402795502255e-05,0.000348143997971704,-2.13484909362867,"Downregulated"
"AFFX-PheX-5_at",394.234176313467,380.93937243882,4.24146474918576,3.74643335598311e-05,0.000348657436150428,-2.13531853520787,"Upregulated"
"208922_s_at",-148.996641723443,407.569938428571,-4.24109843518814,3.7519320133837e-05,0.00034910973933246,-2.13573734915298,"Downregulated"
"214807_at",70.7901599878688,178.625888742857,4.24022036850285,3.76514397783505e-05,0.000350271602559868,-2.1367411633269,"Upregulated"
"244294_at",-53.1978943042624,151.160501968944,-4.24018347947315,3.76570000886493e-05,0.000350271602559868,-2.13678333223132,"Downregulated"
"223084_s_at",-255.490160160656,336.707099888199,-4.2393910000312,3.77766412747145e-05,0.000351324691562343,-2.13768918000555,"Downregulated"
"236315_at",-30.7442709762295,65.0798319440994,-4.23933395383765,3.77852676172674e-05,0.000351345154247295,-2.13775438266906,"Downregulated"
"228200_at",-51.9338829614754,148.753515149068,-4.2392301736942,3.78009657583084e-05,0.000351431355693846,-2.13787299983038,"Downregulated"
"212122_at",93.6841794055737,171.362597842236,4.23874926435955,3.78737913647919e-05,0.000352048545200611,-2.13842263790807,"Upregulated"
"225506_at",-160.723349290164,355.907868329193,-4.23870285274568,3.78808267293614e-05,0.000352054088293019,-2.13847568023245,"Downregulated"
"201996_s_at",163.02987019459,387.549552416149,4.23850769507523,3.79104236627522e-05,0.000352269274942382,-2.13869871541699,"Upregulated"
"1557394_at",46.0666216274754,102.155284952795,4.23841744954583,3.7924117476459e-05,0.000352336639426576,-2.13880184989023,"Upregulated"
"201731_s_at",-89.2333325032786,237.228012677019,-4.23824747660708,3.79499219597912e-05,0.000352516476920078,-2.13899609459594,"Downregulated"
"214005_at",-148.978491906557,281.533623819876,-4.23737337707513,3.80828895237342e-05,0.00035369152109906,-2.13999493288047,"Downregulated"
"219459_at",-182.443747273771,386.028477888199,-4.23704076808648,3.81336029780136e-05,0.000354102368006606,-2.14037497145462,"Downregulated"
"227536_at",-336.433324342623,712.808025714286,-4.2367095816721,3.81841638164531e-05,0.000354511658458919,-2.1407533651363,"Downregulated"
"210041_s_at",-34.5324687280328,57.4676354776398,-4.23646112566313,3.82221367117887e-05,0.000354803960053828,-2.14103722328169,"Downregulated"
"228857_at",-388.454181590164,774.865850403727,-4.2363153677426,3.8244430530756e-05,0.000354950643230196,-2.14120374494955,"Downregulated"
"241215_at",46.5400278236394,74.4223713782609,4.23606049867247,3.82834429503265e-05,0.000355246163292394,-2.14149491200717,"Upregulated"
"226409_at",-96.3652049065574,318.748294068323,-4.23600217052662,3.82923765104983e-05,0.000355246163292394,-2.14156154552339,"Downregulated"
"239313_at",-67.3756621193443,162.284168298137,-4.23598005788788,3.82957638124439e-05,0.000355246163292394,-2.14158680663298,"Downregulated"
"235890_at",-106.585057314754,202.712435161491,-4.23549408578654,3.83702794761557e-05,0.000355862512032302,-2.14214195118834,"Downregulated"
